route,category,value,unit,classification,provenance,source,model_effect,note
BF-BOF,emissions,"{'process': 1.25, 'combustion': 1.29}",tCO2/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,process+combustion emissions in CO2 block,no carbon price applied anywhere
BF-BOF,lifetime,30,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,IEA Iron & Steel Technology Roadmap (2020) standard lifetime,retirement vintage constraint,config lifetime_years=25 (IEA investment cycle) is the model value
BF-BOF,availability,0.9,fraction,PROJECT_PROPOSAL,PROJECT_PROPOSAL,Project proposal for physical availability bound; pending external literature verification,ACT <= avail * CAP bound,PROJECT_PROPOSAL — not a Vol.4 fact
BF-BOF,commercialization,2024,year,FROZEN_EXTERNAL,FROZEN_EXTERNAL,technology card,route availability start (Gate F overrides),
BF-BOF,deployment,4,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,technology card,NCAP lead-time bounds (Mode B deployment),India-specific deployment evidence remains DEFERRED
BF-BOF,learning,,fraction,UNKNOWN,UNKNOWN,Deferred until external data audit,"endogenous learning (Step 11, Mode B)",M1 b_elec DEFERRED/NOT_READY (Phase 25B: cost series 15 obs + IEA deployment anchors 13 recorded; 7 technology-compatible pairs < 15; M1 NOT fitted; use_m1_electrolyser_learning=false)
BF-BOF,existing_capacity,95.8,Mt,FROZEN_EXTERNAL,FROZEN_EXTERNAL,"MoS 'Greening the Steel Sector in India: Roadmap and Action Plan' (March 2025) — BF hot-metal capacity (55 BF units), FY2023-24","SurvivingExisting[i,t] constant — context only; model input stays 0.0 (EXTERNAL_PENDING)","PHASE 24A: route-level production (BOF 62.488 / EAF 31.612 / IF 58.080 Mt FY24-25) and IF capacity (81.92 Mt) CLOSED via JPC (MoS AR 2025-26 Annexure IV/V, Source: JPC). Model existing_capacity_per_route_mt stays 0.0 (loader flag hardcoded False — BASELINE_MILP_SPEC §5); mixed-producer route split (65.381 Mt TSL/JSW/JSPL) + EAF feedstock split remain SUB-GAPS."
BF-BOF,vintage,12 plants with vintages,-,FROZEN_EXTERNAL,FROZEN_EXTERNAL,india_steel_fleet_register.yaml,retirement timing (per-route vintages unresolved),partial plant-level coverage only; unknown vintages not inferred
BF-BOF,retirement,12 plants with vintages,-,FROZEN_EXTERNAL,FROZEN_EXTERNAL,lifetime-based (no per-route vintages),CumRET <= CumNCAP(t-lifetime),
BF-BOF,policy_availability,,year,EXTERNAL_PENDING,EXTERNAL_PENDING,mode_b_policy.yaml (Gate F),route availability start year (Gate F),NZS Gate-F window shown; CPS window differs where recorded (e.g. H2-DRI-EAF 2035 in CPS vs 2030 in NZS). None = no Gate-F window recorded (available from commercialization year)
Coal-DRI-EAF,CAPEX,82.0,USD/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,external_parameter_freeze.yaml,annualised CAPEX cost term in objective,"recorded full-plant economics (freeze file, confidence MEDIUM); route NOT_REPRESENTED in official runs — scenario-exercised only"
Coal-DRI-EAF,FOM,35.0,USD/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,external_parameter_freeze.yaml,fixed O&M cost term in objective,"recorded full-plant economics (freeze file, confidence MEDIUM); route NOT_REPRESENTED in official runs — scenario-exercised only"
Coal-DRI-EAF,VOM,0.0,USD/t,EXTERNAL_PENDING,EXTERNAL_PENDING,VOM_ALL_ROUTES (registry: not separated from combined OPEX),"absent cost term (documented, not silent)","VOM 0.0 is a documented EXTERNAL_PENDING absence, never a frozen fact"
Coal-DRI-EAF,SEC,26.2,GJ/t,FROZEN_DERIVED,FROZEN_DERIVED,NITI Aayog Sectoral Insights: Industry Vol. 4,system summary only (not an intensity),
Coal-DRI-EAF,electricity,0.65,,FROZEN_DERIVED,FROZEN_DERIVED,Derived from EAF power intensity in Figure 2.8,electricity cost term in objective,
Coal-DRI-EAF,coal,,,EXTERNAL_PENDING,EXTERNAL_PENDING,Ministry of Steel / MoEFCC / IEA India DRI coal benchmark (Pending File),coal (coking/non-coking) cost term,
Coal-DRI-EAF,gas,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,natural gas cost term,
Coal-DRI-EAF,iron_ore,1.4,,EXTERNAL_PENDING,EXTERNAL_PENDING,IEA Iron and Steel Technology Roadmap 2020 / MoS process benchmarks (Pending File),iron ore cost term,
Coal-DRI-EAF,scrap,0.2,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,scrap cost term in objective,"PHASE 20: Scrap-EAF scrap intensity PROMOTED to 1.05 t/t FROZEN_EXTERNAL (Xylia et al. 2018, Energy Efficiency 11(5), Table 2 p.1063; corroborated by IEA Roadmap 2020 metallic-input 1.05-1.2 t/t). Uncertainty bounds 1.00-1.15 retained. worldsteel 0.88/0.71 are the BLENDED recycled-EAF route (boundary mismatch, NOT used)"
Coal-DRI-EAF,H2,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,"hydrogen cost term (55 kg/t, V4 p.65)",
Coal-DRI-EAF,emissions,"{'process': 0.85, 'combustion': 1.4}",tCO2/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,process+combustion emissions in CO2 block,no carbon price applied anywhere
Coal-DRI-EAF,lifetime,25,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,IEA Iron & Steel Technology Roadmap (2020),retirement vintage constraint,config lifetime_years=25 (IEA investment cycle) is the model value
Coal-DRI-EAF,availability,0.85,fraction,PROJECT_PROPOSAL,PROJECT_PROPOSAL,Project proposal for physical availability bound; pending external literature verification,ACT <= avail * CAP bound,PROJECT_PROPOSAL — not a Vol.4 fact
Coal-DRI-EAF,commercialization,2024,year,FROZEN_EXTERNAL,FROZEN_EXTERNAL,technology card,route availability start (Gate F overrides),
Coal-DRI-EAF,deployment,3,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,technology card,NCAP lead-time bounds (Mode B deployment),India-specific deployment evidence remains DEFERRED
Coal-DRI-EAF,learning,,fraction,UNKNOWN,UNKNOWN,Deferred until external data audit,"endogenous learning (Step 11, Mode B)",M1 b_elec DEFERRED/NOT_READY (Phase 25B: cost series 15 obs + IEA deployment anchors 13 recorded; 7 technology-compatible pairs < 15; M1 NOT fitted; use_m1_electrolyser_learning=false)
Coal-DRI-EAF,existing_capacity,,Mt,EXTERNAL_PENDING,EXTERNAL_PENDING,EXTERNAL_PENDING (subset of EAF aggregate 36.61 Mt),"SurvivingExisting[i,t] constant — context only; model input stays 0.0 (EXTERNAL_PENDING)","PHASE 24A: route-level production (BOF 62.488 / EAF 31.612 / IF 58.080 Mt FY24-25) and IF capacity (81.92 Mt) CLOSED via JPC (MoS AR 2025-26 Annexure IV/V, Source: JPC). Model existing_capacity_per_route_mt stays 0.0 (loader flag hardcoded False — BASELINE_MILP_SPEC §5); mixed-producer route split (65.381 Mt TSL/JSW/JSPL) + EAF feedstock split remain SUB-GAPS."
Coal-DRI-EAF,vintage,UNRESOLVED,-,EXTERNAL_PENDING,EXTERNAL_PENDING,india_steel_fleet_register.yaml,retirement timing (per-route vintages unresolved),partial plant-level coverage only; unknown vintages not inferred
Coal-DRI-EAF,retirement,UNRESOLVED,-,EXTERNAL_PENDING,EXTERNAL_PENDING,lifetime-based (no per-route vintages),CumRET <= CumNCAP(t-lifetime),
Coal-DRI-EAF,policy_availability,,year,EXTERNAL_PENDING,EXTERNAL_PENDING,mode_b_policy.yaml (Gate F),route availability start year (Gate F),NZS Gate-F window shown; CPS window differs where recorded (e.g. H2-DRI-EAF 2035 in CPS vs 2030 in NZS). None = no Gate-F window recorded (available from commercialization year)
Coal-DRI-IF,CAPEX,61.5,USD/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,external_parameter_freeze.yaml,annualised CAPEX cost term in objective,"recorded full-plant economics (freeze file, confidence MEDIUM); route NOT_REPRESENTED in official runs — scenario-exercised only"
Coal-DRI-IF,FOM,26.0,USD/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,external_parameter_freeze.yaml,fixed O&M cost term in objective,"recorded full-plant economics (freeze file, confidence MEDIUM); route NOT_REPRESENTED in official runs — scenario-exercised only"
Coal-DRI-IF,VOM,0.0,USD/t,EXTERNAL_PENDING,EXTERNAL_PENDING,VOM_ALL_ROUTES (registry: not separated from combined OPEX),"absent cost term (documented, not silent)","VOM 0.0 is a documented EXTERNAL_PENDING absence, never a frozen fact"
Coal-DRI-IF,SEC,26.0,GJ/t,FROZEN_DERIVED,FROZEN_DERIVED,NITI Aayog Sectoral Insights: Industry Vol. 4,system summary only (not an intensity),
Coal-DRI-IF,electricity,0.7,,FROZEN_DERIVED,FROZEN_DERIVED,Derived from IF electrical power requirement in Figure 2.8,electricity cost term in objective,
Coal-DRI-IF,coal,,,EXTERNAL_PENDING,EXTERNAL_PENDING,Ministry of Steel / MoEFCC / IEA India DRI coal benchmark (Pending File),coal (coking/non-coking) cost term,
Coal-DRI-IF,gas,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,natural gas cost term,
Coal-DRI-IF,iron_ore,1.4,,EXTERNAL_PENDING,EXTERNAL_PENDING,IEA Iron and Steel Technology Roadmap 2020 / MoS process benchmarks (Pending File),iron ore cost term,
Coal-DRI-IF,scrap,0.15,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,scrap cost term in objective,"PHASE 20: Scrap-EAF scrap intensity PROMOTED to 1.05 t/t FROZEN_EXTERNAL (Xylia et al. 2018, Energy Efficiency 11(5), Table 2 p.1063; corroborated by IEA Roadmap 2020 metallic-input 1.05-1.2 t/t). Uncertainty bounds 1.00-1.15 retained. worldsteel 0.88/0.71 are the BLENDED recycled-EAF route (boundary mismatch, NOT used)"
Coal-DRI-IF,H2,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,"hydrogen cost term (55 kg/t, V4 p.65)",
Coal-DRI-IF,emissions,"{'process': 0.85, 'combustion': 1.45}",tCO2/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,process+combustion emissions in CO2 block,no carbon price applied anywhere
Coal-DRI-IF,lifetime,20,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,Domestic induction furnace plant lifetime,retirement vintage constraint,config lifetime_years=25 (IEA investment cycle) is the model value
Coal-DRI-IF,availability,0.85,fraction,PROJECT_PROPOSAL,PROJECT_PROPOSAL,Project proposal for physical availability bound; pending external literature verification,ACT <= avail * CAP bound,PROJECT_PROPOSAL — not a Vol.4 fact
Coal-DRI-IF,commercialization,2024,year,FROZEN_EXTERNAL,FROZEN_EXTERNAL,technology card,route availability start (Gate F overrides),
Coal-DRI-IF,deployment,2,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,technology card,NCAP lead-time bounds (Mode B deployment),India-specific deployment evidence remains DEFERRED
Coal-DRI-IF,learning,,fraction,UNKNOWN,UNKNOWN,Deferred until external data audit,"endogenous learning (Step 11, Mode B)",M1 b_elec DEFERRED/NOT_READY (Phase 25B: cost series 15 obs + IEA deployment anchors 13 recorded; 7 technology-compatible pairs < 15; M1 NOT fitted; use_m1_electrolyser_learning=false)
Coal-DRI-IF,existing_capacity,68.8,Mt,FROZEN_EXTERNAL,FROZEN_EXTERNAL,"MoS 'Greening the Steel Sector in India: Roadmap and Action Plan' (March 2025) — IF steelmaking capacity (1,032 units), FY2023-24","SurvivingExisting[i,t] constant — context only; model input stays 0.0 (EXTERNAL_PENDING)","PHASE 24A: route-level production (BOF 62.488 / EAF 31.612 / IF 58.080 Mt FY24-25) and IF capacity (81.92 Mt) CLOSED via JPC (MoS AR 2025-26 Annexure IV/V, Source: JPC). Model existing_capacity_per_route_mt stays 0.0 (loader flag hardcoded False — BASELINE_MILP_SPEC §5); mixed-producer route split (65.381 Mt TSL/JSW/JSPL) + EAF feedstock split remain SUB-GAPS."
Coal-DRI-IF,vintage,UNRESOLVED,-,EXTERNAL_PENDING,EXTERNAL_PENDING,india_steel_fleet_register.yaml,retirement timing (per-route vintages unresolved),partial plant-level coverage only; unknown vintages not inferred
Coal-DRI-IF,retirement,UNRESOLVED,-,EXTERNAL_PENDING,EXTERNAL_PENDING,lifetime-based (no per-route vintages),CumRET <= CumNCAP(t-lifetime),
Coal-DRI-IF,policy_availability,,year,EXTERNAL_PENDING,EXTERNAL_PENDING,mode_b_policy.yaml (Gate F),route availability start year (Gate F),NZS Gate-F window shown; CPS window differs where recorded (e.g. H2-DRI-EAF 2035 in CPS vs 2030 in NZS). None = no Gate-F window recorded (available from commercialization year)
NG-DRI-EAF,CAPEX,95.0,USD/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,configs/optimization/baseline.yaml economics,annualised CAPEX cost term in objective,
NG-DRI-EAF,FOM,87.0,USD/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,configs/optimization/baseline.yaml economics,fixed O&M cost term in objective,
NG-DRI-EAF,VOM,0.0,USD/t,EXTERNAL_PENDING,EXTERNAL_PENDING,VOM_ALL_ROUTES (registry: not separated from combined OPEX),"absent cost term (documented, not silent)","VOM 0.0 is a documented EXTERNAL_PENDING absence, never a frozen fact"
NG-DRI-EAF,SEC,12.7,GJ/t,FROZEN_DERIVED,FROZEN_DERIVED,NITI Aayog Sectoral Insights: Industry Vol. 4,system summary only (not an intensity),
NG-DRI-EAF,electricity,0.55,,FROZEN_DERIVED,FROZEN_DERIVED,Derived from EAF electricity requirement in Figure 2.8,electricity cost term in objective,
NG-DRI-EAF,coal,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,coal (coking/non-coking) cost term,
NG-DRI-EAF,gas,10.7,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,natural gas cost term,
NG-DRI-EAF,iron_ore,1.4,,EXTERNAL_PENDING,EXTERNAL_PENDING,IEA Iron and Steel Technology Roadmap 2020 / MIDREX ENERGIRON benchmarks (Pending File),iron ore cost term,
NG-DRI-EAF,scrap,0.2,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,scrap cost term in objective,"PHASE 20: Scrap-EAF scrap intensity PROMOTED to 1.05 t/t FROZEN_EXTERNAL (Xylia et al. 2018, Energy Efficiency 11(5), Table 2 p.1063; corroborated by IEA Roadmap 2020 metallic-input 1.05-1.2 t/t). Uncertainty bounds 1.00-1.15 retained. worldsteel 0.88/0.71 are the BLENDED recycled-EAF route (boundary mismatch, NOT used)"
NG-DRI-EAF,H2,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,"hydrogen cost term (55 kg/t, V4 p.65)",
NG-DRI-EAF,emissions,"{'process': 0.45, 'combustion': 0.55}",tCO2/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,process+combustion emissions in CO2 block,no carbon price applied anywhere
NG-DRI-EAF,lifetime,30,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,IEA Iron & Steel Technology Roadmap (2020),retirement vintage constraint,config lifetime_years=25 (IEA investment cycle) is the model value
NG-DRI-EAF,availability,0.9,fraction,PROJECT_PROPOSAL,PROJECT_PROPOSAL,Project proposal for physical availability bound; pending external literature verification,ACT <= avail * CAP bound,PROJECT_PROPOSAL — not a Vol.4 fact
NG-DRI-EAF,commercialization,2024,year,FROZEN_EXTERNAL,FROZEN_EXTERNAL,technology card,route availability start (Gate F overrides),
NG-DRI-EAF,deployment,3,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,technology card,NCAP lead-time bounds (Mode B deployment),India-specific deployment evidence remains DEFERRED
NG-DRI-EAF,learning,,fraction,UNKNOWN,UNKNOWN,Deferred until external data audit,"endogenous learning (Step 11, Mode B)",M1 b_elec DEFERRED/NOT_READY (Phase 25B: cost series 15 obs + IEA deployment anchors 13 recorded; 7 technology-compatible pairs < 15; M1 NOT fitted; use_m1_electrolyser_learning=false)
NG-DRI-EAF,existing_capacity,,Mt,EXTERNAL_PENDING,EXTERNAL_PENDING,EXTERNAL_PENDING (subset of EAF aggregate 36.61 Mt),"SurvivingExisting[i,t] constant — context only; model input stays 0.0 (EXTERNAL_PENDING)","PHASE 24A: route-level production (BOF 62.488 / EAF 31.612 / IF 58.080 Mt FY24-25) and IF capacity (81.92 Mt) CLOSED via JPC (MoS AR 2025-26 Annexure IV/V, Source: JPC). Model existing_capacity_per_route_mt stays 0.0 (loader flag hardcoded False — BASELINE_MILP_SPEC §5); mixed-producer route split (65.381 Mt TSL/JSW/JSPL) + EAF feedstock split remain SUB-GAPS."
NG-DRI-EAF,vintage,UNRESOLVED,-,EXTERNAL_PENDING,EXTERNAL_PENDING,india_steel_fleet_register.yaml,retirement timing (per-route vintages unresolved),partial plant-level coverage only; unknown vintages not inferred
NG-DRI-EAF,retirement,UNRESOLVED,-,EXTERNAL_PENDING,EXTERNAL_PENDING,lifetime-based (no per-route vintages),CumRET <= CumNCAP(t-lifetime),
NG-DRI-EAF,policy_availability,,year,EXTERNAL_PENDING,EXTERNAL_PENDING,mode_b_policy.yaml (Gate F),route availability start year (Gate F),NZS Gate-F window shown; CPS window differs where recorded (e.g. H2-DRI-EAF 2035 in CPS vs 2030 in NZS). None = no Gate-F window recorded (available from commercialization year)
H2-DRI-EAF,CAPEX,,USD/t,EXTERNAL_PENDING,EXTERNAL_PENDING,external_parameter_freeze.yaml,annualised CAPEX cost term in objective,"full-plant CAPEX EXTERNAL_PENDING (PHASE 20 demotion: the $685/t 158+527 decomposition is NOT verifiable in the stored IEA extract); PHASE 23: India H2-DRI levelised cost of steel USD 500-860/t FROZEN (IEA 2020 Box 3.2 p.135), electrolyser CAPEX bounds 285/1067 USD/kWe FROZEN (Fig 2.12 p.108), Vogl 2018 abstract facts FROZEN (3.48 MWh/t, 361-640 EUR/t), Vogl component split EXTERNAL scenario only; route still NOT_REPRESENTED in official runs (no page-verified full-plant overnight CAPEX)"
H2-DRI-EAF,FOM,,USD/t,EXTERNAL_PENDING,EXTERNAL_PENDING,external_parameter_freeze.yaml,fixed O&M cost term in objective,"full-plant CAPEX EXTERNAL_PENDING (PHASE 20 demotion: the $685/t 158+527 decomposition is NOT verifiable in the stored IEA extract); PHASE 23: India H2-DRI levelised cost of steel USD 500-860/t FROZEN (IEA 2020 Box 3.2 p.135), electrolyser CAPEX bounds 285/1067 USD/kWe FROZEN (Fig 2.12 p.108), Vogl 2018 abstract facts FROZEN (3.48 MWh/t, 361-640 EUR/t), Vogl component split EXTERNAL scenario only; route still NOT_REPRESENTED in official runs (no page-verified full-plant overnight CAPEX)"
H2-DRI-EAF,VOM,0.0,USD/t,EXTERNAL_PENDING,EXTERNAL_PENDING,VOM_ALL_ROUTES (registry: not separated from combined OPEX),"absent cost term (documented, not silent)","VOM 0.0 is a documented EXTERNAL_PENDING absence, never a frozen fact"
H2-DRI-EAF,SEC,12.8,GJ/t,FROZEN_DERIVED,FROZEN_DERIVED,NITI Aayog Sectoral Insights: Industry Vol. 4,system summary only (not an intensity),
H2-DRI-EAF,electricity,0.6,,FROZEN_DERIVED,FROZEN_DERIVED,Derived from EAF power intensity in Figure 2.8 (excluding electrolysis power),electricity cost term in objective,
H2-DRI-EAF,coal,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,coal (coking/non-coking) cost term,
H2-DRI-EAF,gas,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,natural gas cost term,
H2-DRI-EAF,iron_ore,1.4,,EXTERNAL_PENDING,EXTERNAL_PENDING,IEA Iron and Steel Technology Roadmap 2020 / Hybrit/SALCOS benchmarks (Pending File),iron ore cost term,
H2-DRI-EAF,scrap,0.2,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,scrap cost term in objective,"PHASE 20: Scrap-EAF scrap intensity PROMOTED to 1.05 t/t FROZEN_EXTERNAL (Xylia et al. 2018, Energy Efficiency 11(5), Table 2 p.1063; corroborated by IEA Roadmap 2020 metallic-input 1.05-1.2 t/t). Uncertainty bounds 1.00-1.15 retained. worldsteel 0.88/0.71 are the BLENDED recycled-EAF route (boundary mismatch, NOT used)"
H2-DRI-EAF,H2,0.055,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,"hydrogen cost term (55 kg/t, V4 p.65)",
H2-DRI-EAF,emissions,"{'process': 0.0, 'combustion': 0.05}",tCO2/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,process+combustion emissions in CO2 block,no carbon price applied anywhere
H2-DRI-EAF,lifetime,30,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,IEA Iron & Steel Technology Roadmap (2020),retirement vintage constraint,config lifetime_years=25 (IEA investment cycle) is the model value
H2-DRI-EAF,availability,0.9,fraction,PROJECT_PROPOSAL,PROJECT_PROPOSAL,Project proposal for physical availability bound; pending external literature verification,ACT <= avail * CAP bound,PROJECT_PROPOSAL — not a Vol.4 fact
H2-DRI-EAF,commercialization,2030,year,FROZEN_EXTERNAL,FROZEN_EXTERNAL,technology card,route availability start (Gate F overrides),
H2-DRI-EAF,deployment,3,years,PROJECT_PROPOSAL,PROJECT_PROPOSAL,technology card,NCAP lead-time bounds (Mode B deployment),India-specific deployment evidence remains DEFERRED
H2-DRI-EAF,learning,,fraction,UNKNOWN,UNKNOWN,Deferred until external data audit,"endogenous learning (Step 11, Mode B)",M1 b_elec DEFERRED/NOT_READY (Phase 25B: cost series 15 obs + IEA deployment anchors 13 recorded; 7 technology-compatible pairs < 15; M1 NOT fitted; use_m1_electrolyser_learning=false)
H2-DRI-EAF,existing_capacity,0.0,Mt,FROZEN_EXTERNAL,FROZEN_EXTERNAL,Assessment — no commercial H2-DRI plant operating in India as of 2024,"SurvivingExisting[i,t] constant — context only; model input stays 0.0 (EXTERNAL_PENDING)","PHASE 24A: route-level production (BOF 62.488 / EAF 31.612 / IF 58.080 Mt FY24-25) and IF capacity (81.92 Mt) CLOSED via JPC (MoS AR 2025-26 Annexure IV/V, Source: JPC). Model existing_capacity_per_route_mt stays 0.0 (loader flag hardcoded False — BASELINE_MILP_SPEC §5); mixed-producer route split (65.381 Mt TSL/JSW/JSPL) + EAF feedstock split remain SUB-GAPS."
H2-DRI-EAF,vintage,UNRESOLVED,-,EXTERNAL_PENDING,EXTERNAL_PENDING,india_steel_fleet_register.yaml,retirement timing (per-route vintages unresolved),partial plant-level coverage only; unknown vintages not inferred
H2-DRI-EAF,retirement,UNRESOLVED,-,EXTERNAL_PENDING,EXTERNAL_PENDING,lifetime-based (no per-route vintages),CumRET <= CumNCAP(t-lifetime),
H2-DRI-EAF,policy_availability,2030,year,FROZEN_EXTERNAL,FROZEN_EXTERNAL,mode_b_policy.yaml (Gate F),route availability start year (Gate F),NZS Gate-F window shown; CPS window differs where recorded (e.g. H2-DRI-EAF 2035 in CPS vs 2030 in NZS). None = no Gate-F window recorded (available from commercialization year)
Scrap-EAF,CAPEX,46.0,USD/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,configs/optimization/baseline.yaml economics,annualised CAPEX cost term in objective,
Scrap-EAF,FOM,43.0,USD/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,configs/optimization/baseline.yaml economics,fixed O&M cost term in objective,
Scrap-EAF,VOM,0.0,USD/t,EXTERNAL_PENDING,EXTERNAL_PENDING,VOM_ALL_ROUTES (registry: not separated from combined OPEX),"absent cost term (documented, not silent)","VOM 0.0 is a documented EXTERNAL_PENDING absence, never a frozen fact"
Scrap-EAF,SEC,1.4,GJ/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,system summary only (not an intensity),
Scrap-EAF,electricity,0.4,,FROZEN_DERIVED,FROZEN_DERIVED,Derived from SEC 1.4 GJ/t in Vol. 4 p. 15,electricity cost term in objective,
Scrap-EAF,coal,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,coal (coking/non-coking) cost term,
Scrap-EAF,gas,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,natural gas cost term,
Scrap-EAF,iron_ore,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,iron ore cost term,
